Hora,count,mean,std,min,25%,50%,75%,max
0,358.0,24.092178770949722,11.753771443193022,2.0,16.0,22.5,31.0,104.0
1,356.0,23.09550561797753,10.089843283723944,1.0,16.75,22.0,29.0,77.0
2,357.0,22.50700280112045,9.795841885144746,2.0,16.0,22.0,29.0,72.0
3,354.0,22.019774011299436,9.226587640917232,3.0,16.0,21.0,27.0,57.0
4,354.0,21.375706214689266,8.621902255787091,1.0,16.0,21.0,27.0,49.0
5,355.0,21.24225352112676,8.189004305620212,0.0,16.0,21.0,26.0,47.0
6,352.0,22.298295454545453,8.421867983654833,3.0,17.0,22.0,27.0,63.0
7,355.0,25.31549295774648,10.826660020514593,2.0,19.0,25.0,31.0,122.0
8,354.0,27.22316384180791,11.947639549785837,4.0,19.0,26.0,33.0,88.0
9,355.0,26.67887323943662,11.888059758788192,1.0,19.0,25.0,32.0,89.0
10,358.0,26.980446927374302,12.261719156074385,0.0,19.0,26.0,33.0,126.0
11,360.0,27.344444444444445,14.059888706621665,2.0,20.0,26.0,33.0,175.0
12,357.0,27.061624649859944,11.453452972512174,4.0,19.0,27.0,33.0,60.0
13,358.0,28.435754189944134,12.310868595028461,1.0,20.0,27.0,35.0,74.0
14,360.0,28.458333333333332,12.404215183458756,0.0,20.0,27.0,36.0,75.0
15,358.0,28.695530726256983,13.11592493774048,0.0,21.0,28.0,36.0,84.0
16,356.0,29.03932584269663,13.893908832392102,3.0,20.0,27.0,35.0,84.0
17,358.0,30.55586592178771,17.123573173016915,0.0,21.0,28.0,37.0,132.0
18,356.0,32.353932584269664,18.68971280605743,5.0,21.0,29.0,40.0,159.0
19,359.0,36.31197771587744,54.143794129389924,1.0,21.0,30.0,40.5,985.0
20,357.0,32.5406162464986,18.64968754930198,2.0,20.0,30.0,40.0,137.0
21,358.0,31.08100558659218,16.57143528283842,4.0,19.25,29.0,40.0,134.0
22,355.0,28.529577464788733,14.06225458659627,0.0,19.0,27.0,36.0,130.0
23,341.0,26.363636363636363,12.49198673631704,5.0,17.0,25.0,33.0,101.0
