Mes,count,mean,std,min,25%,50%,75%,max
1,12.0,54.583333333333336,114.08486341581893,0.0,2.0,2.0,22.0,367.0
2,6.0,3.5,2.7386127875258306,2.0,2.0,2.5,3.0,9.0
3,6.0,3.3333333333333335,2.422120283277993,2.0,2.0,2.0,3.5,8.0
4,5.0,19.2,37.352376095772,2.0,2.0,2.0,4.0,86.0
5,4.0,3.5,2.516611478423583,0.0,3.0,4.0,4.5,6.0
6,8.0,4.625,1.3024701806293193,3.0,3.75,4.5,6.0,6.0
7,10.0,6.7,4.547282460742655,2.0,3.25,4.0,10.0,14.0
8,6.0,11.833333333333334,5.564770136013407,5.0,7.0,13.5,15.5,18.0
9,0.0,,,,,,,
10,0.0,,,,,,,
11,0.0,,,,,,,
12,4.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
